"Sex" "Fat" "StorageTime" "Year"
"M" 1.914 63 2015
"M" 0.55 77 2015
"F" 1.313 244 2015
"F" 3.151 15 2015
"F" 5.498 243 2015
"F" 2.199 125 2015
"M" 0.95 242 2015
"M" 4.246 242 2015
"F" 20.622 571 2015
"M" 0.434 33 2015
"M" 2.127 130 2015
"M" 4.928 32 2015
"M" 0.636 117 2015
"M" 2.176 33 2015
"M" 6.17 242 2015
"M" 2.701 12 2015
"M" 1.346 19 2015
"F" 1.272 242 2015
"F" 2.034 5 2015
"M" 1.484 3 2015
"F" 2.609 5 2015
"M" 0.514 237 2015
"F" 3.933 237 2015
"F" 0.433 237 2015
"F" 0.403 237 2015
"F" 0.496 237 2015
"M" 0.393 237 2015
"F" 3.288 236 2015
